               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
80,0.029509,0.0075391,0.0021132,0.0391613,0.55483,0.60147,0.58509,0.25652,0.032657,0.007653,0.003073,0.006445,0.006445,0.006445
81,0.029839,0.0077885,0.0020359,0.0396634,0.73103,0.58178,0.59151,0.22629,0.037265,0.0080011,0.003442,0.0064,0.0064,0.0064
82,0.029293,0.0078742,0.0024535,0.0396207,0.74561,0.58572,0.62177,0.32354,0.034018,0.0085747,0.0028397,0.006355,0.006355,0.006355
83,0.028887,0.0078705,0.0021687,0.0389262,0.64562,0.69657,0.72777,0.28999,0.02983,0.0076456,0.0038817,0.00631,0.00631,0.00631
84,0.028438,0.0075542,0.0022534,0.0382456,0.46056,0.44069,0.51816,0.21552,0.033856,0.0083774,0.0064769,0.006265,0.006265,0.006265
85,0.028694,0.0077298,0.0024338,0.0388576,0.71921,0.41644,0.45889,0.17877,0.033243,0.0085776,0.007016,0.00622,0.00622,0.00622
86,0.028123,0.0074825,0.001887,0.0374925,0.63883,0.58635,0.64194,0.24239,0.035031,0.007804,0.0067377,0.006175,0.006175,0.006175
87,0.028563,0.007732,0.0021106,0.0384056,0.68554,0.70054,0.72638,0.31958,0.031689,0.0073607,0.004064,0.00613,0.00613,0.00613
88,0.027635,0.0076869,0.0022824,0.0376043,0.50526,0.57036,0.62482,0.25572,0.033589,0.0085303,0.0042926,0.006085,0.006085,0.006085
89,0.027789,0.0074186,0.0020616,0.0372692,0.60299,0.67477,0.66282,0.27221,0.033473,0.0082744,0.0037813,0.00604,0.00604,0.00604
90,0.027932,0.0073836,0.001879,0.0371946,0.82776,0.56802,0.62273,0.24861,0.033327,0.0080503,0.0037575,0.005995,0.005995,0.005995
91,0.027537,0.0078446,0.0022236,0.0376052,0.55537,0.57131,0.6146,0.23985,0.034286,0.0079585,0.0027375,0.00595,0.00595,0.00595
92,0.028924,0.0078846,0.0024982,0.0393068,0.69901,0.66118,0.69952,0.28987,0.032802,0.0078525,0.0061251,0.005905,0.005905,0.005905
93,0.028747,0.0073625,0.002135,0.0382445,0.7268,0.67624,0.69059,0.29702,0.030211,0.0079696,0.0077217,0.00586,0.00586,0.00586
94,0.027582,0.0072475,0.001924,0.0367535,0.41346,0.46586,0.40726,0.15981,0.032675,0.0088059,0.0085476,0.005815,0.005815,0.005815
95,0.028079,0.0073869,0.002024,0.0374899,0.57312,0.51618,0.56539,0.27014,0.034605,0.0084726,0.0056238,0.00577,0.00577,0.00577
96,0.027509,0.0076112,0.0022275,0.0373477,0.51482,0.64229,0.57861,0.26295,0.030978,0.0078812,0.0043369,0.005725,0.005725,0.005725
97,0.026809,0.00754,0.0020895,0.0364385,0.69785,0.48554,0.52535,0.21164,0.034483,0.0088999,0.0052601,0.00568,0.00568,0.00568
98,0.02699,0.007073,0.0019966,0.0360596,0.61977,0.64536,0.65299,0.2857,0.03224,0.0082026,0.0038748,0.005635,0.005635,0.005635
